item's link,item's name,Hero name,Type of the item,item's price,min price,max price,avg price,buys call
https://market.dota2.net/item/2974022690-57949762-Orb%20of%20Deliverance/,Orb of Deliverance,Disruptor,Оружие,260  ,55 ,129.24 ,97.76 ,500+
https://market.dota2.net/item/155648454-0-Taunt%3A%20Sharp%20Blade/,Насмешка: Sharp Blade,Juggernaut,Mythical StandardНасмешка,280  ,40 ,91.28 ,69.78 ,500+
https://market.dota2.net/item/497882791-3361756675-The%20Lightning%20Orchid/,The Lightning Orchid,Storm Spirit,Голова,238  ,67.66 ,124.56 ,94.38 ,500+
https://market.dota2.net/item/1116755959-3361756675-Focal%20Resonance/,Focal Resonance,Templar Assassin,Оружие,665.91  ,216 ,339.83 ,302.23 ,500+
https://market.dota2.net/item/2274735475-57949762-Sea%20Rake%27s%20Bridle/,Sea Rake's Bridle,Slark,Голова,1 477.49  ,920 ,1 354.36 ,1 136.52 ,500+
https://market.dota2.net/item/2457164245-0-Bitter%20Lineage/,Bitter Lineage,Troll Warlord,Оружие,250  ,168 ,277.95 ,230.16 ,500+
https://market.dota2.net/item/996724471-1412535481-Rollermawster/,Rollermawster,Tinker,Immortal StandardГолова,206.53  ,27.18 ,49.97 ,40.02 ,500+
https://market.dota2.net/item/5085330517-1625510296-Astral%20Origins%20-%20Back/,Astral Origins - Back,Tiny,Спина,537.98  ,400 ,600 ,497.3 ,500+
https://market.dota2.net/item/1326928008-520008156-Infused%20Claws%20of%20the%20Ferocious%20Heart/,None,Ursa,Mythical InfusedОружие,415.1  ,238.31 ,666.06 ,364.13 ,500+
https://market.dota2.net/item/948149724-948149725-Almond%20the%20Frondillo/,Almond the Frondillo,Axe,Призванное существо,229.99  ,126.16 ,222.42 ,171.84 ,500+
https://market.dota2.net/item/1116755408-3361756675-Piston%20Impaler/,Piston Impaler,Bristleback,Спина,240.1  ,100 ,265.08 ,217.98 ,109
https://market.dota2.net/item/3481256770-1625510296-Pachyderm%20Powderwagon%20Weapon/,Pachyderm Powderwagon Weapon,Techies,Оружие,65.62  ,14.9 ,45.32 ,26.01 ,500+
https://market.dota2.net/item/1814259497-57949762-Pulsar%20Remnant/,Pulsar Remnant,Mirana,Immortal StandardОружие,398.77  ,199.86 ,420.21 ,353.16 ,500+
https://market.dota2.net/item/3450589816-57949762-Sullen%20Rampart/,Sullen Rampart,Necrophos,Ноги,794.35  ,290 ,459.99 ,349.92 ,500+
https://market.dota2.net/item/1899580764-57949762-Blistering%20Shade/,Blistering Shade,Wraith King,Immortal StandardРуки,587.82  ,340 ,504.72 ,414.1 ,500+
https://market.dota2.net/item/2588898080-1625510296-Etienne%27s%20Revenge/,Etienne's Revenge,None,Immortal StandardЛевая рука,549.98  ,259.09 ,683.14 ,465.49 ,500+
https://market.dota2.net/item/3481251709-57949762-Golden%20Piscean%20Pulverizer/,Golden Piscean Pulverizer,Tusk,Руки,244  ,100 ,293.44 ,221.14 ,500+
https://market.dota2.net/item/3956512309-782678640-Golden%20Fin%20of%20the%20First%20Spear/,Golden Fin of the First Spear,Slardar,Immortal ОбычнаяГолова,999  ,12.09 ,27 ,16.79 ,500+
https://market.dota2.net/item/5085330513-1625510296-Astral%20Origins%20-%20Weapon/,Astral Origins - Weapon,Tiny,Оружие,289.9  ,170 ,404.33 ,266.37 ,500+
https://market.dota2.net/item/1814259115-57949762-Golden%20Shadow%20Masquerade/,Golden Shadow Masquerade,Riki,Плечи,370.98  ,225 ,432.84 ,332.92 ,500+
https://market.dota2.net/item/2345318196-57949762-Golden%20Scavenging%20Guttleslug/,Golden Scavenging Guttleslug,Pudge,Плечи,1 260.1  ,720.61 ,1 310.67 ,986.33 ,500+
https://market.dota2.net/item/2457163545-57949762-Pyrexaec%20Floe/,Pyrexaec Floe,Jakiro,Голова,999  ,464.52 ,730.8 ,610.34 ,500+
https://market.dota2.net/item/2457164244-57949762-Concord%20Dominion/,Concord Dominion,Phantom Lancer,Плечи,1 429.82  ,191.25 ,320 ,240.63 ,500+
https://market.dota2.net/item/1116775821-1258547525-Colossal%20Crystal%20Chorus/,Colossal Crystal Chorus,Meepo,Спина,635.48  ,15.89 ,47.27 ,33.08 ,500+
https://market.dota2.net/item/3354392245-1625510296-Jagged%20Honor%20Legs/,Jagged Honor Legs,Juggernaut,Ноги,600  ,352.6 ,662.49 ,476.66 ,500+
https://market.dota2.net/item/131957931-57943523-Fiery%20Soul%20of%20the%20Slayer/,Fiery Soul of the Slayer,Lina,Голова,1 564.86  ,1 240 ,2 144.73 ,1 687.16 ,500+
https://market.dota2.net/item/1441173253-1625510296-Tempest%20Helm%20of%20the%20Thundergod/,Tempest Helm of the Thundergod,Zeus,Голова,2 065.3  ,1 334.5 ,1 930.1 ,1 657.18 ,500+
https://market.dota2.net/item/1399668417-996698943-Mantle%20of%20the%20Cinder%20Baron/,Mantle of the Cinder Baron,Axe,Immortal StandardРазное,244.82  ,70.35 ,199.98 ,109.02 ,500+
https://market.dota2.net/item/3266270159-948149725-Immortal%20Treasure%20I%202019/,Immortal Treasure I 2019,None,Н/Д,220  ,20.47 ,66.82 ,35.35 ,500+
https://market.dota2.net/item/57939722-948149725-Seafarer%27s%20Shoes/,Seafarer's Shoes,Kunkka,Ноги,5 000  ,0.48 ,0.8 ,0.59 ,500+
https://market.dota2.net/item/4056581761-57949762-God%27s%20Mercy/,God's Mercy,Mars,Доп. оружие,1 100  ,735.99 ,1 300 ,931.19 ,500+
https://market.dota2.net/item/2814112341-2814746998-Codicil%20of%20the%20Veiled%20Ones/,Codicil of the Veiled Ones,Phantom Assassin,Голова,1 191.52  ,662.15 ,1 114.2 ,858.48 ,500+
https://market.dota2.net/item/2588898073-1625510296-The%20Sunbreeze%20Birthright/,The Sunbreeze Birthright,None,Пояс,361.17  ,240 ,402.74 ,318.08 ,500+
https://market.dota2.net/item/4056771476-1625510296-The%20Hallows%20Within%20Tombstone/,The Hallows Within Tombstone,Undying,3-я способность,799  ,290.02 ,856.48 ,424.54 ,500+
https://market.dota2.net/item/4056771478-1625510296-The%20Hallows%20Within/,The Hallows Within,Undying,Голова,595.16  ,400 ,852.1 ,553.7 ,500+
https://market.dota2.net/item/4056581862-57949762-Blackshield%20Protodrone/,Blackshield Protodrone,Tinker,Н/Д,329.5  ,164.64 ,395.59 ,290.63 ,500+
https://market.dota2.net/item/4056792221-1625510296-Cunning%20Cultivations%20Ward/,Cunning Cultivations Ward,Witch Doctor,Призванное существо,220  ,3.98 ,27.99 ,9.66 ,500+
https://market.dota2.net/item/2345315403-57949762-Sullen%20Harvest/,Sullen Harvest,Necrophos,Оружие,3 164  ,950.17 ,2 090.32 ,1 640.7 ,500+
https://market.dota2.net/item/4056581340-57949762-Avowance%20of%20the%20Veiled%20Ones/,Avowance of the Veiled Ones,Phantom Assassin,Плечи,2 585  ,1 785 ,2 740.49 ,2 133.17 ,500+
https://market.dota2.net/item/1723106283-948149725-Effigy%20Block%20of%20The%20International%202016/,Effigy Block of The International 2016,None,Н/Д,299  ,0.97 ,14.19 ,3.32 ,500+
https://market.dota2.net/item/1899578584-57949762-Nothlic%20Burden/,Nothlic Burden,Dazzle,Разное,540  ,261.97 ,465.59 ,348.84 ,500+
https://market.dota2.net/item/1899578699-57949762-Latticean%20Shards/,Latticean Shards,Nyx Assassin,Оружие,440  ,189.59 ,304.32 ,248.95 ,500+
https://market.dota2.net/item/2880706931-2880706932-Astral%20Drift/,Astral Drift,Obsidian Destroyer,Спина,431.25  ,270.06 ,470 ,370.14 ,500+
https://market.dota2.net/item/2944823463-2944823464-Masque%20of%20Awaleb/,Masque of Awaleb,Witch Doctor,Голова,1 351  ,475.9 ,872.91 ,661.68 ,500+
https://market.dota2.net/item/1899580746-57949762-Mulctant%20Pall/,Mulctant Pall,Lion,Immortal StandardСпина,973  ,403.06 ,664.42 ,543.48 ,500+
https://market.dota2.net/item/2085579067-1625510296-Great%20Sage%27s%20Reckoning/,Great Sage's Reckoning,None,Arcana StandardГолова,1 668.13  ,1 000 ,1 930 ,1 319.34 ,500+
https://market.dota2.net/item/2085579510-1625510296-Exalted%20Great%20Sage%27s%20Reckoning/,Exalted Great Sage's Reckoning,Monkey King,Голова,1 509.26  ,962 ,1 600 ,1 306.38 ,500+
https://market.dota2.net/item/4056581349-57949762-Concord%20Reversion/,Concord Reversion,Phantom Lancer,Голова,1 071.06  ,743.2 ,1 243.02 ,945.26 ,500+
https://market.dota2.net/item/1814290122-1625510296-Dark%20Artistry%20Pauldrons/,Dark Artistry Paldrons,Invoker,Immortal StandardПлечи,590  ,181.03 ,349.52 ,269.39 ,500+
https://market.dota2.net/item/1116765615-1403501090-Atomic%20Ray%20Thrusters/,Atomic Ray Thrusters,Gyrocopter,Оружие,31 456.04  ,61.32 ,317.74 ,104.92 ,426
https://market.dota2.net/item/1723140764-948149725-Taunt%3A%20You%20Prefer%20Arrows%3F/,Taunt: You Prefer Arrows?,Windranger,Immortal StandardНасмешка,269.48  ,163.19 ,317.74 ,249.38 ,500+
https://market.dota2.net/item/4581312720-2948972793-The%20International%202021%20HUD/,The International 2021: стиль интерфейса,None,Стиль интерфейса,1 999  ,0.5 ,55 ,0.74 ,500+
https://market.dota2.net/item/4056820764-1625510296-Frostglade%20Familiar%20Legs/,Frostglade Familiar Legs,Drow Ranger,Ноги,317.74  ,0.5 ,7.2 ,1.29 ,500+
https://market.dota2.net/item/4672400773-1625510296-Soul%20Shredder/,Soul Shredder,Doom Bringer,Оружие,1 399.99  ,795.6 ,2 200 ,1 217.75 ,500+
https://market.dota2.net/item/342651391-3361758890-Fractal%20Horns%20of%20Inner%20Abysm/,Fractal Horns of Inner Abysm,Terrorblade,Arcana StandardHead,1 500.19  ,1 028.42 ,1 628.64 ,1 303.58 ,500+
https://market.dota2.net/item/524844106-230145964-Severing%20Crest/,Severing Crest,Razor,Голова,1 009.42  ,144.09 ,984.99 ,373.9 ,500+
https://market.dota2.net/item/3481260926-1625510296-Mask%20of%20the%20Demon%20Trickster/,Mask of the Demon Trickster,Monkey King,Голова,714.91  ,111.03 ,266.9 ,149.85 ,500+
https://market.dota2.net/item/1533204097-0-Shield%20of%20the%20Battlehawk/,Shield of the Battlehawk,Sven,Mythical StandardРуки,238.31  ,0.52 ,65.3 ,10.43 ,500+
https://market.dota2.net/item/3678642518-1625510296-Headdress%20of%20the%20Loyal%20Fold/,Headdress of the Loyal Fold,Templar Assassin,Голова,438  ,100 ,500 ,257.58 ,500+
https://market.dota2.net/item/771156290-560542281-Genuine%20Bloodfeather%20Wings/,None,Queen of Pain,Спина,1 400  ,231.61 ,1 100 ,438.76 ,500+
https://market.dota2.net/item/4056581901-57949762-Arena%20Champion/,Arena Champion,Mars,Н/Д,229  ,147.61 ,359 ,195.93 ,500+
https://market.dota2.net/item/3481254033-57949762-Golden%20Ice%20Blossom/,Golden Ice Blossom,Crystal Maiden,Оружие,381  ,145.83 ,312.18 ,215.74 ,500+
https://market.dota2.net/item/3631776460-1625510296-Frostmoot%20Tree/,Frostmoot Tree,Tiny,Mythical StandardОружие,None,441.43 ,1 509.26 ,732.13 ,500+
https://market.dota2.net/item/230751399-630624083-Kinetic%3A%20Bladekeeper%27s%20Omnislash/,Кинетический: Bladekeeper's Omnislash,None,Н/Д,220  ,26.15 ,78.28 ,50.66 ,500+
https://market.dota2.net/item/4796723480-948149725-DPC%202022%20Spring%20Lineage%20Treasure/,DPC 2022 Spring Lineage Treasure,None,Н/Д,321  ,28.16 ,59 ,37.33 ,500+
https://market.dota2.net/item/1169484140-1363818240-Shards%20of%20Exile/,Shards of Exile,Obsidian Destroyer,Оружие,706.97  ,342.85 ,879 ,514.54 ,500+
https://market.dota2.net/item/4714886358-1625510296-Bane%20of%20the%20Deathstalkers%20-%20Back/,Bane of the Deathstalkers - Back,Phantom Assassin,Спина,1 080  ,749 ,1 349.95 ,967.78 ,500+
https://market.dota2.net/item/1899578286-57949762-Hunter%27s%20Hoard/,Hunter's Hoard,Bounty Hunter,Immortal StandardСпина,849.99  ,427.06 ,899.85 ,619.37 ,500+
https://market.dota2.net/item/4056581337-57949762-Lash%20of%20the%20Lizard%20Kin/,Lash of the Lizard Kin,Shadow Shaman,Голова,1 652.23  ,1 044.4 ,2 105.02 ,1 373.81 ,500+
https://market.dota2.net/item/2974026541-57949762-Golden%20Mandate%20of%20the%20Stormborn/,Golden Mandate of the Stormborn,Storm Spirit,Руки,2 225.82  ,560 ,1 286.72 ,793.87 ,500+
https://market.dota2.net/item/3678642515-1625510296-Armor%20of%20the%20Loyal%20Fold/,Armor of the Loyal Fold,Templar Assassin,Броня,580  ,419.3 ,834.07 ,570.69 ,500+
https://market.dota2.net/item/4812314296-1625510296-Radiant%20Conqueror%20Shoulder/,Radiant Conqueror Shoulder,Legion Commander,Плечи,981.99  ,527.51 ,1 492.14 ,835.04 ,500+
https://market.dota2.net/item/2974026543-57949762-Sylvan%20Vedette/,Sylvan Vedette,Windranger,Плечи,2 383.04  ,1 565.83 ,2 581.54 ,2 027.15 ,500+
https://market.dota2.net/item/1899577580-57949762-Infernal%20Chieftain/,Infernal Chieftain,Centaur Warchief,Голова,394.38  ,248 ,553.4 ,383.81 ,500+
https://market.dota2.net/item/4056862746-1625510296-Provocation%20of%20Ruin%20Mask/,Provocation of Ruin Mask,Juggernaut,Голова,680  ,454.93 ,1 029.94 ,641.83 ,500+
https://market.dota2.net/item/497884810-230145964-Fin%20King%27s%20Charm/,Fin King's Charm,Lion,Оружие,330  ,69.7 ,143.39 ,108.25 ,500+
https://market.dota2.net/item/4812314298-1625510296-Radiant%20Conqueror%20Head/,Radiant Conqueror Head,Legion Commander,Голова,240  ,20.22 ,168.41 ,77.09 ,500+
https://market.dota2.net/item/606175608-1618953788-Demon%20Eater/,Demon Eater,Shadow Fiend,Arcana StandardГолова,1 429.79  ,878 ,1 985.87 ,1 313.67 ,433
https://market.dota2.net/item/3266270158-57949762-Immortal%20Treasure%20III%202019/,Immortal Treasure III 2019,None,Н/Д,333  ,33.15 ,74 ,49.79 ,500+
https://market.dota2.net/item/4480649914-782678640-Nacreous%20Stag/,Nacreous Stag,Venomancer,Н/Д,300  ,0.88 ,14.34 ,6.84 ,500+
https://market.dota2.net/item/4742122498-1625510296-Winter%20Lineage%20Blade%20of%20the%20Primeval%20Predator/,Winter Lineage Blade of the Primeval Predator,Bloodseeker,Оружие,953.22  ,0.5 ,7.2 ,1.16 ,500+
https://market.dota2.net/item/1169484150-1388167972-Sullen%20Hollow/,Sullen Hollow,Necrophos,Плечи,1 164.99  ,300 ,1 404.41 ,646.4 ,500+
https://market.dota2.net/item/3678642502-1625510296-Helm%20of%20the%20Honored%20Servant%20of%20the%20Empire/,Helm of the Honored Servant of the Empire,Legion Commander,Голова,550  ,32.76 ,254.35 ,85.98 ,500+
https://market.dota2.net/item/497881591-910150487-Rampant%20Outrage/,Rampant Outrage,Axe,Immortal StandardГолова,238.31  ,9.92 ,30.98 ,16.36 ,296
https://market.dota2.net/item/497881591-910150487-Rampant%20Outrage/,Rampant Outrage,Axe,Immortal StandardГолова,238.31  ,9.92 ,30.98 ,16.36 ,296
https://market.dota2.net/item/3354392242-1625510296-Jagged%20Honor%20Blade/,Jagged Honor Blade,Juggernaut,Оружие,732.93  ,401.59 ,849.16 ,617.22 ,500+
https://market.dota2.net/item/1880238739-2950871654-Hydrakan%20Latch/,Hydrakan Latch,Slark,Оружие,236  ,180.09 ,334.57 ,249.59 ,180
https://market.dota2.net/item/4056581336-57949762-Fetters%20of%20Omniscience/,Fetters of Omniscience,Omniknight,Плечи,2 550  ,530.88 ,1 294.42 ,796.29 ,500+
https://market.dota2.net/item/2019426064-1625510600-Infused%20Garb%20of%20the%20Corridan%20Maestro/,None,Storm Spirit,Mythical InfusedБроня,1 240  ,91.65 ,600 ,153.1 ,500+
https://market.dota2.net/item/720075452-93973071-Genuine%20DAC%202015%20Mirana%20Cursor%20Pack/,None,None,Набор курсоров,220  ,0.5 ,51.44 ,10.6 ,500+
https://market.dota2.net/item/2050794484-1625510600-Infused%20Tunic%20of%20the%20Wandering%20Flame/,None,Ember Spirit,Mythical InfusedПояс,367.62  ,90.59 ,999 ,266.66 ,500+
https://market.dota2.net/item/1151258330-57943523-deadmau5%20dieback%20music%20pack/,deadmau5 dieback music pack,None,Музыка,770  ,130.23 ,544.98 ,210.58 ,500+
https://market.dota2.net/item/253037326-230149949-Blades%20of%20Voth%20Domosh/,Blades of Voth Domosh,Legion Commander,Оружие,3 220  ,1 061.3 ,2 234.73 ,1 542.55 ,500+
https://market.dota2.net/item/560564699-730472862-Conceit%20of%20the%20Wandering%20Harlequin/,Conceit of the Wandering Harlequin,Rubick,Оружие,1 400  ,0.5 ,14.96 ,1.99 ,219
https://market.dota2.net/item/2274723232-948149725-Immortal%20Treasure%20III%202017/,Immortal Treasure III 2017,None,Immortal StandardН/Д,621  ,115.13 ,283.89 ,190.54 ,500+
https://market.dota2.net/item/1814290119-1625510296-Dark%20Artistry%20Belt/,Dark Artistry Belt,Invoker,Immortal StandardПояс,590.39  ,360 ,665.03 ,504.65 ,500+
https://market.dota2.net/item/2935283923-1625510296-Armor%20of%20Twisted%20Maelstrom/,Armor of Twisted Maelstrom,Enigma,Броня,565.45  ,429.59 ,849.98 ,575.23 ,500+
https://market.dota2.net/item/4056862743-1625510296-Provocation%20of%20Ruin%20Ward/,Provocation of Ruin Ward,Juggernaut,2-я способность,383.78  ,269.08 ,873.78 ,398.9 ,500+
https://market.dota2.net/item/1169463135-0-Thirst%20of%20Eztzhok%20Blade/,Thirst of Eztzhok Blade,Bloodseeker,Оружие,417.04  ,148.82 ,329.66 ,224.28 ,500+
https://market.dota2.net/item/1441173253-948149725-Tempest%20Helm%20of%20the%20Thundergod/,Tempest Helm of the Thundergod,Zeus,Голова,1 851  ,1 000 ,2 001.75 ,1 511.03 ,500+
https://market.dota2.net/item/3481260922-1625510296-Pauldrons%20of%20the%20Demon%20Trickster/,Pauldrons of the Demon Trickster,Monkey King,Плечи,380  ,331.97 ,1 013.19 ,471.34 ,500+
https://market.dota2.net/item/2944823468-2944885170-Bonkers%20of%20Awaleb/,Bonkers of Awaleb,Witch Doctor,Спина,320.1  ,179.04 ,312.9 ,243.45 ,281
https://market.dota2.net/item/1814290124-1625510296-Dark%20Artistry%20Cape/,Dark Artistry Cape,Invoker,Immortal StandardСпина,5 083.81  ,3 360 ,5 902 ,4 355.63 ,500+
https://market.dota2.net/item/4056874032-1625510296-Shadow%20in%20the%20Deep%20Bracers/,Shadow in the Deep Bracers,Slark,Руки,694.62  ,150 ,938.92 ,543.86 ,500+
https://market.dota2.net/item/4581315249-57949762-Lineage%20Province%20of%20the%20Hunt%20Eternal/,Lineage Province of the Hunt Eternal,Clinkz,Mythical StandardН/Д,330  ,30.65 ,99 ,47.11 ,500+
https://market.dota2.net/item/560561686-1625510296-Red%20Dragon%20Shoulders/,Red Dragon Shoulders,Brewmaster,Плечи,595  ,0.5 ,10 ,1.18 ,142
https://market.dota2.net/item/466386035-0-Insatiable%20Bonesaw/,Insatiable Bonesaw,Pudge,Rare StandardЛевая рука,4 210.53  ,999.99 ,2 477.75 ,1 451.92 ,500+
https://market.dota2.net/item/497882579-1704054252-Mecha%20Boots%20of%20Travel%20Mk%20III/,Mecha Boots of Travel Mk III,Tinker,Разное,556.05  ,37 ,81.49 ,53.41 ,247
https://market.dota2.net/item/2175756217-1625510296-Top%20Hat%20of%20the%20Occultist%27s%20Pursuit/,Top Hat of the Occultist's Pursuit,Sniper,Голова,262.67  ,175.05 ,509.18 ,277.86 ,500+
https://market.dota2.net/item/2415363046-57949762-Vigil%20Triumph/,Vigil Triumph,Sven,Оружие,3 800  ,2 033.74 ,4 685.84 ,3 172.72 ,500+
https://market.dota2.net/item/3956316191-57949762-The%20Abscesserator%20Bundle/,Комплект The Abscesserator,Pudge,Н/Д,546.35  ,347 ,593.62 ,482.81 ,500+
https://market.dota2.net/item/4056815222-1625510296-Desert%20Burn%20Morty/,Desert Burn Morty,Snapfire,Животное,876.99  ,431.42 ,2 597.35 ,923.45 ,500+
https://market.dota2.net/item/4511668776-1625510296-Darktrench%20Stalker%20-%20Head/,Darktrench Stalker - Head,Morphling,Голова,1 429.03  ,724.65 ,1 676.99 ,1 121.79 ,500+
https://market.dota2.net/item/2777687741-2783813431-Exalted%20Feast%20of%20Abscession/,Exalted Feast of Abscession,Pudge,Спина,1 565  ,1 100 ,1 996.99 ,1 480.91 ,197
https://market.dota2.net/item/1169484141-1414493242-Grasping%20Bludgeon/,Grasping Bludgeon,Slardar,Оружие,557.45  ,338.7 ,757.81 ,507.65 ,278
https://market.dota2.net/item/1169463135-1172183476-Thirst%20of%20Eztzhok%20Blade/,Thirst of Eztzhok Blade,Bloodseeker,Оружие,330  ,146.53 ,349.52 ,225.92 ,172
https://market.dota2.net/item/771156380-57949762-Genuine%20The%20Golden%20Barb%20of%20Skadi/,None,Slark,Оружие,1 000  ,150.78 ,480.58 ,322.94 ,500+
https://market.dota2.net/item/2814112341-2814358472-Codicil%20of%20the%20Veiled%20Ones/,Codicil of the Veiled Ones,Phantom Assassin,Голова,3 000  ,551.04 ,1 508.46 ,833.35 ,500+
https://market.dota2.net/item/2944823468-2944833287-Bonkers%20of%20Awaleb/,Bonkers of Awaleb,Witch Doctor,Спина,251.81  ,141.02 ,410 ,236.71 ,401
https://market.dota2.net/item/2935283925-1625510296-Eye%20of%20Twisted%20Maelstrom/,Eye of Twisted Maelstrom,Enigma,Голова,486.54  ,262 ,819.01 ,384.51 ,500+
https://market.dota2.net/item/3729031412-1625510296-Crown%20of%20Vile%20Reliquary/,Crown of Vile Reliquary,Wraith King,Голова,254.95  ,110 ,457 ,175.03 ,500+
https://market.dota2.net/item/87638802-0-Little%20Blink%20Dagger/,Little Blink Dagger,Axe,Uncommon StandardПояс,220  ,34.74 ,112.33 ,64.46 ,500+
https://market.dota2.net/item/1222415965-948149725-Announcer%3A%20Rick%20and%20Morty/,Комментаторы: Рик и Морти,None,Комментатор,387.44  ,232.01 ,555.17 ,331.61 ,500+
https://market.dota2.net/item/644964380-1630174705-Manifold%20Paradox/,Manifold Paradox,Phantom Assassin,Оружие,1 465  ,1 011.41 ,1 747.56 ,1 311.52 ,111
https://market.dota2.net/item/782527558-606235234-Inscribed%20Demon%20Eater/,None,Shadow Fiend,Голова,1 509.26  ,1 011.38 ,1 898.49 ,1 291.52 ,89
https://market.dota2.net/item/1880241933-57949762-Disciple%20of%20the%20Wyrmwrought%20Flame/,Disciple of the Wyrmwrought Flame,Lina,Immortal StandardШея,7 943.45  ,4 300 ,13 495 ,6 275.91 ,500+
https://market.dota2.net/item/4672399776-57949762-Soul%20Corpulence/,Soul Corpulence,Shadow Fiend,Н/Д,500.44  ,25 ,1 000 ,426.86 ,272
https://market.dota2.net/item/4056874024-1625510296-Shadow%20in%20the%20Deep%20Armor/,Shadow in the Deep Armor,Slark,Плечи,9 134.96  ,3 364.85 ,7 990 ,5 573.88 ,500+
